country,year,gdp_growth
Equatorial Guinea,1965,409.329240554413
"Congo, Dem. Rep.",2000,305.158015183968
Iraq,1994,286.779300277677
Azerbaijan,1993,253.16811104651
Oman,1974,240.722488966002
Iraq,1995,223.049400662219
Saudi Arabia,1974,203.81576525311
Qatar,1974,202.487314645327
Guyana,2006,188.504548808772
Iraq,1990,174.043372894274
